Headline,Date,Description
Alarming drug trend in Hyderabad: Addicts turn to injecting nitravet liquid for stronger high; 5 held,"Sep 02, 2024","In Hyderabad, multiple drug addicts have turned to injecting a liquid form of the sedative Nitravet. Following a raid in Banjara Hills, police arrested five individuals who were found using a mixture of crushed Nitravet, Tydol, and Tramadol. These substances were obtained from local suppliers, now under further investigation."
"Hyderabad drug bust: Amphetamine worth Rs 8.5 crore seized, 3 held for peddling","Aug 27, 2024","Three individuals transporting Amphetamine, valued at 8.5 crore, were arrested by Hyderabad task force officers. K Nagaraju, assisted by A Vinod Kumar and Srisailam, was caught with the drug in Bowenpally. Police revealed that Nagaraju, originally a mason, turned to drug peddling with Anji Reddy, who was already in custody."
Suppliers to peddlers: How 100 names dropped over seizure of 2 ecstasy pills in Hyderabad,"Sep 13, 2024","In a significant crackdown on drug suppliers in Hyderabad, Telangana police have identified 101 accused individuals. The investigation began with the seizure of two ecstasy pills from Ashik Yadav and led to further arrests across Goa, Bangalore, Telangana, and Andhra Pradesh. Among those identified are 62 drug suppliers and peddlers."
Ex-IIIT student among 2 held for selling ganja,"Sep 22, 2024",
Man held for selling ganja chocolates,"Sep 21, 2024",
3 engineering students held for peddling drugs in Hyderabad; 30 LSD blots seized,"Sep 20, 2024",
Man held for supplying meds without prescription & his employer get bail,"Sep 18, 2024",
Actress' brother among 6 detained in Hyderabad drug bust,"Jul 16, 2024",
"Aman Preet Singh, brother of Bollywood actress, detained by Telangana police in drug case","Jul 15, 2024",
Rakul Preet Singh's brother Aman Preet Singh arrested in connection to a drugs case - reports,"Jul 15, 2024","Actress Rakul Preet Singh's brother Aman Preet Singh has been arrested by Hyderabad police. As per the latest report by Hindustan Times, the 'Ramrajya' actor was arrested in connection to a drugs case after a joint operation done by the Narcotics Bureau and Rajendra Nagar SOT Police under Cyberabad Police's jurisdiction."
Drug bust case: Rakul Preet Singh's brother Aman Preet Singh among ten arrested by Hyderabad police; to be produced before court post medical tests,"Jul 16, 2024","According to officials, Aman Preet Singh is among five people arrested as customers after a joint raid by the Telangana Anti-Narcotics Bureau (TGANB) and Narsingi Police, Cyberabad, and the subsequent arrest of five drug peddlers. The joint raid was conducted based on credible information at a flat in Vishal Nagar and seized 199 grams of cocaine worth Rs. 35 lakh from their possession."
Nigerian smuggled drugs in bread loaf,"Jul 19, 2024",
"Raid at Hyderabad pub, 24 held for drug use","Jul 08, 2024",
"Drug bust in IT hub pub in Hyderabad , 2nd in 2 weeks; techies & DJs caught","Jul 08, 2024","Telangana Anti-Narcotics Bureau raided 'Forest Alchemy 3.0' in Raidurgam, Hyderabad, arresting 24, including MNC employees and DJs, for cocaine, MDMA, meth, ganja use. Conducted at 10 pm on Saturday, 55 tested; 24 positive. Arrests under NDPS Act. Leads involve managers Abdullah Ayub. Sandeep Shandilya oversees ongoing investigations."
"Cops move to arrest drug, alcohol abuse, gambling in force","Jul 21, 2024",
"Rs 328 crore narcotics seized, 15 held in interstate racket","Jul 04, 2024","The Kashimira crime unit has dismantled a large interstate drug trafficking network, arresting 15 individuals and seizing mephedrone worth Rs 328 crore from factories in Uttar Pradesh and Telangana. The gang allegedly operated under the direction of Salim Dola, a close associate of fugitive gangster Dawood Ibrahim. Further investigations led to arrests in various locations, uncovering a complex money laundering scheme. Significant seizures were made, including a massive haul of MD raw material from Azamgarh, Uttar Pradesh."
"Woman drugged, gang-raped by colleagues in car","Jul 04, 2024",
Hyderabad's dope drought drives cocaine prices to new high,"Jun 10, 2024",
Actress Hema released on conditional bail,"Jun 15, 2024","Telugu actress Hema has been under custody since June 3 for her involvement in a party in Bengaluru on May 19. The party, held near Electronic city, led to arrests after a police raid found attendees under the influence of drugs."
"9 chargesheeted for organising rave party, 79 for consuming drugs","Sep 11, 2024",
Four R’than peddlers arrested with drugs,"Jan 20, 2024",
Hyderabad 'doctor' arrested in Solapur drug manufacturing factory bust,"Oct 27, 2024","The Mumbai crime branch which recently uncovered an illicit Mephedrone (MD) manufacturing facility in Solapur, seizing MD drug and raw materials worth around Rs 100 crore, has now arrested the alleged mastermind, referred to as the 'doctor,' from Hyderabad."
‘Bro Daddy’ assistant director Mansoor Rasheed arrested for sexual harassment,"Sep 12, 2024","Mansoor Rasheed, assistant director of 'Bro Daddy', faces arrest for sexual harassment after a woman's complaint about an assault on set. He surrendered to Kukatpally Court and is held in Sangareddy jail. Director Prithviraj Sukumaran learned of the allegations in October 2023 and removed Rasheed from 'Empuraan'. The Gachibowli police intend to oppose his bail plea. Despite some crew members knowing, action was taken only after formal complaints."
"Telugu students falling prey to drugs in US, deadly spike in overdose cases","Jul 29, 2024","Two students from Telangana studying in Texas died from a cocaine overdose. TANA reported 30 overdose cases among Telugu students in the US recently. Easy availability, peer pressure, and legal marijuana contribute to the rise. Universities and associations are conducting awareness and de-addiction programs to combat the issue."
Man arrested with 10g heroin,"Mar 17, 2024",
Hyderabad: BTech grad arrested with drugs worth Rs 10 lakh for sale on New Year Eve,"Jan 01, 2024",
"Inter-state drug racket busted, five arrested","Oct 05, 2024",
Three arrested for peddling MDMA crystal pills & cocaine,"Sep 12, 2024",
Bigg Boss Telugu fame Shanmukh Jaswanth arrested in drug case,"Feb 22, 2024",Bigg Boss Telugu fame Shanmukh Jaswanth and his brother Vinay Sampath have been detained by the police in Hyderabad in connection with a drug case. The allegations came to light during a police investigation into a cheating case where the victim accused Shanmukh of promising her roles in web series.
